Date,Time,Battery Voltage(V),Battery Current(mA),Battery Power(W),Temperature(*C),Pressure(hPa),Humidity(%),Gas(kOhms),Altitude(m),PM > 0.3(Particles/0.1L),PM > 0.5(Particles/0.1L),PM > 1.0(Particles/0.1L),PM > 2.5(Particles/0.1L),PM > 5.0(Particles/0.1L),PM > 10.0(Particles/0.1L),PM1.0(ug/m3),PM2.5(ug/m3),PM10.0(ug/m3),AQI(PM2.5),AQI(PM10.0)
1/1/2000 Sat.,01:33:30,6.32,87.00,0.55,27.32,1001.95,17.79,1940.41,94.68,1017,221,29,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:31,6.31,86.40,0.55,27.33,1001.93,17.80,1939.00,94.68,1017,221,29,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:32,6.28,100.40,0.63,27.35,1001.93,17.83,1939.00,94.68,1017,221,29,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:32,6.32,87.30,0.55,27.32,1001.95,17.84,1934.78,94.68,1011,214,29,3,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:33,6.31,82.20,0.52,27.33,1001.95,17.86,1936.19,94.84,1011,214,29,3,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:34,6.27,95.40,0.60,27.35,1001.95,17.85,1951.75,94.68,1011,214,29,3,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:35,6.30,81.40,0.51,27.33,1001.93,17.85,1948.91,94.51,1032,225,31,3,1,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:33:36,6.32,87.20,0.55,27.34,1001.95,17.84,1964.68,94.68,1032,225,31,3,1,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:33:37,6.28,106.50,0.67,27.36,1001.93,17.84,1970.48,94.84,1032,225,31,3,1,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:33:38,6.32,87.10,0.55,27.33,1001.93,17.84,1950.33,94.51,1041,225,29,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:38,6.31,78.80,0.50,27.34,1001.95,17.84,1971.94,94.68,1041,225,29,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:39,6.27,105.50,0.66,27.36,1001.93,17.84,1967.58,94.84,1041,225,29,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:40,6.32,87.30,0.55,27.33,1001.93,17.81,1960.35,94.68,1035,214,27,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:41,6.32,87.90,0.56,27.34,1001.95,17.83,1970.48,94.68,1035,214,27,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:42,6.27,98.00,0.61,27.36,1001.93,17.82,1979.24,94.84,1035,214,27,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:43,6.31,76.00,0.48,27.33,1001.91,17.80,1953.18,94.68,1053,216,27,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:44,6.31,87.50,0.55,27.34,1001.93,17.81,1977.78,94.68,1053,216,27,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:44,6.27,105.00,0.66,27.36,1001.93,17.81,1964.68,94.68,1053,216,27,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:45,6.31,82.70,0.52,27.33,1001.91,17.79,1939.00,94.68,963,189,29,2,1,0,3,4,5,16.67,4.63
